,0,1
39,"What spatial aspects are Canada, France, Germany, Italy, Japan, the United Kingdom and the United States a part of?","What are Canada, France, Germany, Italy, Japan, the United Kingdom and the United States a part of?"
40,What kind of companies does Pennies search for to partner with?,What kind of companies are Pennies looking to partner with?
41,Who were three Chicago blues players who influenced hard rock?,Who were the two hard rock icons of the Chicago Blues?
42,What was Whitehead's belief about God in relation to religion?,What does Whitehead deems to be his God?
43,In how many FIFA world cups has England appeared?,In how many world cups has England won?
44,Which president vetoed six bills?,Which president vetoed the next six bills?
45,What is the population of near by municipalities?,How is the population of a municipality?
46,What position was not being contended during the Western Schism?,What wasn't being contended under the Western schism?
47, What part of Zhejiang is not a center of aquaculture in China?,What part of Zhejiang is not a center for aquaculture in China?
48,Many post modern designs feature classic elements in what way?,Many post modern designs feature classical elements in what way?
49,What year did China and Japan reach a stalemate?,What year did china and Japan get in a stalemate?
50,How many Pulitzer Prize laureates attended the Medill School of Journalism?,How many Pulitzer prize laureates enrolled in the Medill School of Journalism?
51,"There is another part of the face which gets its red color from the pigment pheomelanin, what is it?",What pigment chrysomelanin are in the body’s red part?
52,When was the Treaty of Versailles signed?,How was the treaty of Versailles signed?
53, What is the teacher enrollment of Rice University?,What is teaching enrollment at Rice University of California?
54,What overlooks the bay of Montevideo?,What is the best view of the bay of Montevideo?
55,What cabinet agency did Eisenhower make Social Security a part of?,Which cabinet agency did Eisenhower make it part of?
56,What is the oldest form of Anglo-Saxon?,What is the oldest form of anglo-Saxon and its origin?
57,What term describes the nature of how the university is partially funded?,What term describes the nature of how universities are partially funded?
58,What is the purpose of the resettlement of residents?,What is the purpose of resettlement?
59,When was that article published?,When was it published?
60,What was wrong with Edward marrying Wallis Simpson?,If Edward was married to Wallis Simpson what did he mean?
61,Who show the 2011 final? ,Who will win the 2011 FIFA FAI Cup?
62,What replaced the holocene megafauna?,What replacements are available for the holocene megafauna?
63,What century had no wars?,What decade had no wars?
64,What did Seattle call itself at the time of the Goodwill Games?,What did Seattle do at the time of the Goodwill Games?
65,What sea was created by the Alps?,Was there sea created by the Alps?
66,Which politicians donated funds to establish the Royal College of Chemistry?,Who donated materials to establish the Royal College of Chemistry in the future?
67,On what date did Breeder Reactor I first make electricity?,On what date did breeders first make electricity?
68,What is the model of communication in which the sender and receiver are connected reciprocally called?,What is the model of communication where the sender and receiver are connected reciprocally called?
69,When did Armenia reject the referendum proposing the retention of the Soviet Union?,Why did Armenia reject the referendum proposal for the re-organization of the Soviet Union?
70,Which bishop carries an actual right to the cardinalate?,Which bishop has a true right to the cardinalate?
71,What band was lead singer John Bonham from?,What band was John Bonham?
72,How could the locomotives run on four speed levels?,How could a locomotive run on 4 speed levels?
73,In what year did the New Haven Black Panther trials take place in New Haven?,In which year did the New Haven Black Panther Trial take place in New Haven?
74,What was measured in the early 20th century?,What was the first century?
75,"The scientific revolution contributed to what, in terms of science?",What contributed to the scientific revolution to Science?
76,Where are BJT amplifiers most commonly used?,Where are BJT amplifiers used and what is their use?
77,How can you tell who has stopped smoking and who hasn't?,How do I know who stopped smoking?
78,How did the schoolboys stop Maclean?,How did the boys stop Maclean?
79,What is the Public School number that interrupts East 5th Street?,What is the number that interrupts East 5th Street?
80,How many museums does the Palais Rohan hold? ,How many museums do Palais Rohan have?
81,What is the names of Scotland's two smallest teams?,What is Scotland's two smallest teams?
82,What is the Royal Gold Medal awarded for?,Why was Royal Gold Medal awarded in India?
83,How much land does the ecoregion cover?,How much land does an ecoregion cover?
84,Atari created NES products under which name?,How did Atari make their Nintendo products?
85,Who were the next settlement of people on Norfolk Island restricted from?,Who was the next settler on Norfolk island restricted from and what did they find?
86,Which model is of federalism is similar to the federalism model in Australia? ,What are different definitions of federalism in the United States of America?
87,Who identified the inactive substance?,Who has identified inactive substance?
88,Upon what are kings of Scots coronated?,What are the main reasons why Scots remained as King of Scots?
89,What people lived in river region of Arabia?,What lived in the river region of Arabia?
90,During what years was the Aztec Empire conquered?,What are some historical records of the Aztecs in their reign?
91,What is the name of the British district in Mewar?,What is the British district in Mewar?
92,Where did NATO begin naval operations after 2002?,Where did NATO begin its naval operations after 2002?
93,What unit was used in the DIN to express speeds? ,What unit in DIN was used to express speed?
94,In what foreign country did Dell open plants in 1996?,Which foreign country did Dell open their plant in 1996?
95,What is the highest dam in the world?,What are high dams?
96,How many of the vehicles will be used for training?,How many vehicle will be used in training?
97,How can jeopardy opinions be dissuaded?,How are jeopardy opinions dissuaded?
98,"According to the Association of Religion Data in 2010, what percentage of Alaskans are members of a relgious congregation?",What percentage of Alaskans are members of a religious congregation?
99,"Who, in 2007, frustrated Elizabeth?",Who frustrated Elizabeth?
