,0,1
51,"There is another part of the face which gets its red color from the pigment pheomelanin, what is it?","There is another part of the face which gets its red color from pigment pheomelanin, what is it?"
52,When was the Treaty of Versailles signed?,When was s signed the Treaty of Versailles?
53, What is the teacher enrollment of Rice University?,What is teacher enrollment of Rice University?
54,What overlooks the bay of Montevideo?,
55,What cabinet agency did Eisenhower make Social Security a part of?,what cabinet agency did Eisenhower make Social Security part of?
56,What is the oldest form of Anglo-Saxon?,
57,What term describes the nature of how the university is partially funded?,What term describes the nature of how university is partially funded?
58,What is the purpose of the resettlement of residents?,What is the purpose of re-habiting of residents?
59,When was that article published?,When was this article published?
60,What was wrong with Edward marrying Wallis Simpson?,Was was wrong with Edward marrying Wallis Simpson?
61,Who show the 2011 final? ,Who show the 2011 final?
62,What replaced the holocene megafauna?,What replacement a holocene megafauna?
63,What century had no wars?,What century did no wars?
64,What did Seattle call itself at the time of the Goodwill Games?,What did Seattle say at the time of the Goodwill Games?
65,What sea was created by the Alps?,
66,Which politicians donated funds to establish the Royal College of Chemistry?,Which politicians donated funds for the Royal College of Chemistry?
67,On what date did Breeder Reactor I first make electricity?,"On what date did Breeder Reactor I, my second set of powers make electricity?"
68,What is the model of communication in which the sender and receiver are connected reciprocally called?,What model of communication in which sender and receiveer are connected reciprocally called?
69,When did Armenia reject the referendum proposing the retention of the Soviet Union?,What are the imputations and whether the results of the referendum suggested the Soviet Union?
70,Which bishop carries an actual right to the cardinalate?,Which bishop has an actual right to the cardinalate?
71,What band was lead singer John Bonham from?,What band was singer John Bonham from?
72,How could the locomotives run on four speed levels?,How could the locomotives run on four speed levels running?
73,In what year did the New Haven Black Panther trials take place in New Haven?,In what year did New Haven Black Panther trials take place in New Haven?
74,What was measured in the early 20th century?,What is measured in the early 20th century?
75,"The scientific revolution contributed to what, in terms of science?","The scientific revolution has contributed to what, in terms of science?"
76,Where are BJT amplifiers most commonly used?,Where are BJT amplifiers most common used?
77,How can you tell who has stopped smoking and who hasn't?,How can you tell who has stopped smoking and who hasn't stopped smoking?
78,How did the schoolboys stop Maclean?,How did the schoolboys stop the violence of Maclean?
79,What is the Public School number that interrupts East 5th Street?,
80,How many museums does the Palais Rohan hold? ,How many museums does the Palais Rohan hold?
81,What is the names of Scotland's two smallest teams?,What are the names of Scotland's two smallest team?
82,What is the Royal Gold Medal awarded for?,What does Royal Gold Medal mean?
83,How much land does the ecoregion cover?,How much land does the ecoregion cover in the South of New Zealand?
84,Atari created NES products under which name?,Atari created NES products under what name?
85,Who were the next settlement of people on Norfolk Island restricted from?,Who were the next settlement of people on Norfolk Island restrained from?
86,Which model is of federalism is similar to the federalism model in Australia? ,Which model is of federalism is similar to the federalism model in Australia?
87,Who identified the inactive substance?,Who identified the inactive substance (if any)?
88,Upon what are kings of Scots coronated?,Upon what have kings of Scots incoronated?
89,What people lived in river region of Arabia?,What people lived in rivers region of Arabia?
90,During what years was the Aztec Empire conquered?,During what years were the Aztec Empire conquered?
91,What is the name of the British district in Mewar?,What is the name of British district in Mewar?
92,Where did NATO begin naval operations after 2002?,Where did NATO initiate naval operations after 2002?
93,What unit was used in the DIN to express speeds? ,What unit was used in the DIN to express speeds?
94,In what foreign country did Dell open plants in 1996?,In what foreign country did Dell opens plants in 1996?
95,What is the highest dam in the world?,What's the highest dam in the world?
96,How many of the vehicles will be used for training?,How many vehicles will be used for training?
97,How can jeopardy opinions be dissuaded?,How can people dissuaded from jeopardy opinions?
98,"According to the Association of Religion Data in 2010, what percentage of Alaskans are members of a relgious congregation?","according to Association of Religion Data in 2010, what percentage of Alaskans are members of the relgious congregation?"
99,"Who, in 2007, frustrated Elizabeth?",Who in 2007 frustrated Elizabeth?
